Road ID,Length (km),Number of Bends,Traffic Volume (vehicles/day),Accident Risk (1-10)
1,12.5,8,1500,4
2,8.3,5,800,3
3,15.7,10,2200,6
4,10.2,7,1300,5
5,22.8,12,3000,7
6,6.4,3,500,2
7,14.9,9,1700,5
8,11.6,6,1200,4
9,9.8,4,1000,3
10,17.3,11,2500,6
11,5.7,2,400,2
12,13.4,8,1400,5
13,18.1,10,2000,6
14,7.9,4,700,3
15,21.2,13,3100,7
16,12.8,9,1600,5
17,8.1,5,850,3
18,16.4,10,1900,6
19,9.2,4,950,3
20,14.6,7,1400,4
21,11.9,6,1100,4
22,17.5,11,2300,6
23,13.7,8,1300,5
24,6.8,3,550,2
25,19.2,12,2500,6
26,10.5,7,1200,5
27,22.4,14,3200,7
28,12.1,8,1400,5
29,7.4,4,600,3
30,15.2,9,1800,5
31,8.9,5,900,3
32,18.3,11,2200,6
33,11.3,6,1300,4
34,20.1,13,3000,7
35,9.5,4,800,3
36,14.3,7,1100,4
37,16.7,10,2100,6
38,12.0,8,1200,5
39,7.6,3,650,2
40,18.6,12,2600,6
41,13.1,8,1500,5
42,22.0,13,3100,7
43,10.8,7,1100,5
44,17.0,10,2000,6
45,6.5,3,500,2
46,19.7,12,2700,6
47,11.4,6,1200,4
48,15.9,9,1600,5
49,9.4,4,850,3
50,14.2,7,1300,4
